Current Package List - 09.21.2023

[bbrittle@ArchSurface ~]$ pacman -Q
a52dec 0.8.0-2
aalib 1.4rc5-17
abseil-cpp 20230802.1-1
accountsservice 23.13.9-1
acl 2.3.1-3
acpica 20230628-1
adobe-base-14-fonts 3.01-4
adobe-source-code-pro-fonts 2.042u+1.062i+1.026vf-1
adwaita-cursors 44.0-1
adwaita-icon-theme 44.0-1
alacritty 0.12.2-1
alsa-lib 1.2.10-2
alsa-plugins 1:1.2.7.1-2
alsa-topology-conf 1.2.5.1-3
alsa-ucm-conf 1.2.10-2
alsa-utils 1.2.10-1
aml 0.3.0-1
aom 3.7.0-1
appstream 0.16.3-1
appstream-glib 0.8.2-3
archlinux-keyring 20230918-1
argon2 20190702-5
aribb24 1.0.3-3
arronax 0.8.1-3
asar 3.2.4-1
asciidoc 10.2.0-3
at-spi2-core 2.50.0-1
atkmm 2.28.3-1
attr 2.5.1-3
audacious 4.3.1-1
audacious-plugins 4.3.1-2
audit 3.1.2-1
augeas 1.14.0-1
authy 2.4.1-1
autoconf 2.71-4
autoconf-archive 1:2023.02.20-1
automake 1.16.5-2
autotiling 1.8-3
avahi 1:0.8+r127+g55d783d-1
ayatana-ido 0.10.1-1
azote 1.12.3-1
babl 0.1.106-1
baobab 44.0-1
base 3-1
bash 5.1.016-4
bibata-cursor-theme 2.0.4-1
bibata-cursor-translucent 1.1.2-1
bibata-rainbow-cursor-theme 1.1.2-2
bind 9.18.19-1
binutils 2.41-3
bison 3.8.2-6
blas 3.11.0-2
blosc 1.21.5-1
blueman 2.3.5-2
blueprint-compiler-git r202.6ad1433-1
bluez 5.69-1
bluez-libs 5.69-1
bluez-utils 5.69-1
boost 1.83.0-2
boost-libs 1.83.0-2
box2d 2.4.1-1
brotli 1.0.9-12
btop 1.2.13-1
btrfs-progs 6.5.1-1
bubblewrap 0.8.0-1
bzip2 1.0.8-5
c-ares 1.19.1-1
ca-certificates 20220905-1
ca-certificates-mozilla 3.93-1
ca-certificates-utils 20220905-1
cabextract 1.11-1
cairo 1.17.8-2
cairo-perl 1.109-3
cairomm 1.14.4-1
candy-icons-git r933.a14330c-1
cantarell-fonts 1:0.303.1-1
capstone 4.0.2-7
catgirl 2.2-1
cava 0.9.0-2
cblas 3.11.0-2
cdparanoia 10.2-8
cdrtools 3.02a09-5
cli11 2.3.2-1
clucene 2.3.3.4-14
cmake 3.27.6-1
cmark 0.30.3-1
coin 4.0.0.04c190-4
colord 1.4.6-1
confuse 3.3-3
coreutils 9.3-1
cpio 2.14-1
cppdap 1.58.0-1
cryptsetup 2.6.1-3
curl 8.3.0-1
cutecom 0.51.0-4
dav1d 1.2.1-1
db 6.2.32-1
db5.3 5.3.28-4
dbus 1.14.10-1
dbus-glib 0.112-3
dbus-python 1.3.2-2
dconf 0.40.0-2
debootstrap 1.0.132-1
debtap 3.5.1-1
deepin-desktop-base 2:2023.09.04-1
deepin-qt5integration 5.6.16-1
deepin-qt5platform-plugins 5.6.16-2
default-cursors 2-1
desktop-file-utils 0.26-2
device-mapper 2.03.22-2
dhclient 4.4.3.P1-2
dhcpcd 10.0.2-1
dialog 1:1.3_20230209-1
diffutils 3.10-1
discord 0.0.30-1
djvulibre 3.5.28-5
dkms 3.0.11-1
dmraid 1.0.0.rc16.3-14
dnssec-anchors 20190629-3
docbook-xml 4.5-9
docbook-xsl 1.79.2-7
dopewars 1.6.2-2
dosfstools 4.2-3
double-conversion 3.3.0-1
dpkg 1.22.0-1
dtc 1.7.0-4
dtkcommon 5.6.16-1
dtkcore 1:5.6.16-1
dtkgui 1:5.6.16-1
dtkwidget 5.6.16-1
duktape 2.7.0-6
dwayland 5.25.0-1
e2fsprogs 1.47.0-1
edk2-ovmf 202308-2
efibootmgr 18-2
efivar 38-3
eigen 3.4.0-1
electron 1:25-1
electron25 25.6.0-1
ell 0.58-1
enchant 2.5.0-1
ethtool 1:6.4-1
evolution 3.48.4-1
evolution-data-server 3.48.4-2
evolution-ews 3.48.2-1
exfatprogs 1.2.1-1
exiv2 0.28.0-3
exo 4.18.0-1
expac 10-5
expat 2.5.0-1
f2fs-tools 1.16.0-2
faad2 2.10.1-1
fakeroot 1.32.1-1
feedbackd 0.2.0-2
ffcall 2.4-2
ffmpeg 2:6.0-11
ffmpeg4.4 4.4.4-1
fftw 3.3.10-4
file 5.45-1
filesystem 2023.01.31-1
findutils 4.9.0-3
flac 1.4.3-1
flex 2.6.4-5
fluidsynth 2.3.3-1
fmt 10.1.0-1
font-manager 0.8.8-1
fontconfig 2:2.14.2-1
franz 1:5.10.0-1
freecad 0.21.1-2
freeglut 3.4.0-1
freeimage 3.18.0-21
freerdp 2:2.11.1-1
freetype2 2.13.2-1
fribidi 1.0.13-2
fuchsia-cursor 2.0.0-2
fuse-common 3.16.1-1
fuse2 2.9.9-4
fuse3 3.16.1-1
fzf 0.42.0-1
gammastep 2.0.9-2
gawk 5.2.2-1
gc 8.2.4-1
gcc 13.2.1-3
gcc-libs 13.2.1-3
gcr 3.41.1-4
gcr-4 4.1.0-1
gd 2.3.3-7
gdb 13.2-1
gdb-common 13.2-1
gdbm 1.23-2
gdk-pixbuf2 2.42.10-2
gdm 44.1-1
gdm-settings 3.3-1
gegl 0.4.46-2
gendesk 1.0.9-3
geoclue 2.7.1-1
geocode-glib-2 3.26.4-3
geocode-glib-common 3.26.4-3
gettext 0.22-1
ghostscript 10.02.0-1
giflib 5.2.1-2
gimp 2.10.34-3
girara 0.4.0-1
git 2.42.0-1
gjs 2:1.76.2-1
gklib 5.1.1-4
gl2ps 1.4.2-2
glava 1.6.3-2
glew 2.2.0-6
glib-networking 1:2.78.0-1
glib-perl 1.329.3-4
glib2 2.78.0-2
glib2-docs 2.78.0-2
glibc 2.38-3
glibmm 2.66.6-1
glslang 13.0.0-1
glu 9.0.3-1
gmime3 3.2.13-2
gmp 6.3.0-1
gnome-autoar 0.4.4-1
gnome-calculator 44.0-1
gnome-desktop 1:44.0-1
gnome-desktop-4 1:44.0-1
gnome-desktop-common 1:44.0-1
gnome-keyring 1:42.1-3
gnome-session 44.0-1
gnome-settings-daemon 44.1-1
gnome-shell 1:44.5-1
gnome-themes-extra 3.28+r6+g45b1d457-1
gnupg 2.2.41-2
gnutls 3.8.1-1
go 2:1.21.1-1
gobject-introspection 1.78.1-1
gobject-introspection-runtime 1.78.1-1
goocanvas 3.0.0-4
google-chrome 117.0.5938.88-1
gparted 1.5.0-1
gperf 3.1-5
gperftools 2.12-1
gpgme 1.22.0-1
gpm 1.20.7.r38.ge82d1a6-5
gptfdisk 1.0.9-2
graphene 1.10.8-1
graphicsmagick 1.3.41-3
graphite 1:1.3.14-3
graphviz 9.0.0-1
grep 3.11-1
